step 0: classification- train loss 2.5660, classification-val loss 2.5894
[WANDB] Logging at iter 0: train 2.565965175628662, val 2.5894088745117188
iter 106: loss 0.7231, time 820.60ms, mfu 0.15%
iter 107: loss 0.8127, time 812.71ms, mfu 0.15%
iter 108: loss 0.9456, time 802.74ms, mfu 0.15%
iter 109: loss 0.6621, time 825.79ms, mfu 0.15%
iter 110: loss 0.8223, time 789.58ms, mfu 0.15%
iter 111: loss 0.7163, time 815.73ms, mfu 0.15%
iter 112: loss 0.7268, time 806.44ms, mfu 0.15%
iter 113: loss 0.7927, time 810.29ms, mfu 0.15%
iter 114: loss 0.7905, time 811.06ms, mfu 0.15%
iter 115: loss 0.7432, time 802.76ms, mfu 0.15%
iter 116: loss 0.6309, time 815.47ms, mfu 0.15%
iter 117: loss 0.7454, time 817.28ms, mfu 0.15%
iter 118: loss 0.7119, time 800.22ms, mfu 0.15%
iter 119: loss 0.6426, time 841.68ms, mfu 0.15%
iter 120: loss 0.7466, time 805.06ms, mfu 0.15%
iter 121: loss 0.7085, time 799.48ms, mfu 0.15%
iter 122: loss 2.9309, time 822.01ms, mfu 0.15%
iter 123: loss 0.9526, time 812.19ms, mfu 0.15%
iter 124: loss 0.7207, time 796.33ms, mfu 0.15%
iter 125: loss 0.6414, time 815.75ms, mfu 0.15%
iter 126: loss 0.6606, time 811.69ms, mfu 0.15%
iter 127: loss 0.7378, time 811.54ms, mfu 0.15%
iter 128: loss 0.6536, time 809.81ms, mfu 0.15%
iter 129: loss 0.7625, time 813.95ms, mfu 0.15%
iter 130: loss 0.5659, time 799.06ms, mfu 0.15%
iter 131: loss 3.7815, time 823.28ms, mfu 0.15%
iter 132: loss 0.7904, time 827.36ms, mfu 0.15%
iter 133: loss 1.0403, time 813.76ms, mfu 0.15%
iter 134: loss 0.7179, time 810.99ms, mfu 0.15%
iter 135: loss 0.7717, time 806.59ms, mfu 0.15%
iter 136: loss 0.4694, time 827.04ms, mfu 0.15%
iter 137: loss 0.7963, time 785.91ms, mfu 0.15%
iter 138: loss 0.9138, time 816.34ms, mfu 0.15%
iter 139: loss 0.5017, time 816.25ms, mfu 0.15%
iter 140: loss 0.5598, time 809.96ms, mfu 0.15%
iter 141: loss 0.7952, time 815.45ms, mfu 0.15%
iter 142: loss 0.8850, time 810.24ms, mfu 0.15%
iter 143: loss 0.4785, time 811.49ms, mfu 0.15%
iter 144: loss 0.4192, time 811.66ms, mfu 0.15%
iter 145: loss 1.0105, time 808.96ms, mfu 0.15%
iter 146: loss 0.4158, time 818.25ms, mfu 0.15%
iter 147: loss 0.7787, time 849.80ms, mfu 0.15%
iter 148: loss 0.7279, time 774.08ms, mfu 0.15%
iter 149: loss 2.5098, time 816.23ms, mfu 0.15%
step 150: classification- train loss 0.7469, classification-val loss 0.7417
[WANDB] Logging at iter 150: train 0.7469238042831421, val 0.741686999797821
saving checkpoint to out-sentiment-small
iter 150: loss 0.3784, time 5835.91ms, mfu 0.14%
iter 151: loss 0.7770, time 824.36ms, mfu 0.14%
iter 152: loss 0.4742, time 795.15ms, mfu 0.14%
iter 153: loss 0.7327, time 824.94ms, mfu 0.14%
iter 154: loss 1.1504, time 813.70ms, mfu 0.14%
iter 155: loss 0.7871, time 811.51ms, mfu 0.14%
iter 156: loss 1.3647, time 813.04ms, mfu 0.15%
iter 157: loss 0.8384, time 802.70ms, mfu 0.15%
iter 158: loss 0.2615, time 811.04ms, mfu 0.15%
iter 159: loss 0.7784, time 822.03ms, mfu 0.15%
iter 160: loss 0.7971, time 807.79ms, mfu 0.15%
iter 161: loss 2.7197, time 811.70ms, mfu 0.15%
iter 162: loss 0.7010, time 805.21ms, mfu 0.15%
iter 163: loss 1.1509, time 809.19ms, mfu 0.15%
iter 164: loss 0.7863, time 824.21ms, mfu 0.15%
iter 165: loss 0.8506, time 811.97ms, mfu 0.15%
iter 166: loss 0.6614, time 807.55ms, mfu 0.15%
iter 167: loss 0.4440, time 814.06ms, mfu 0.15%
iter 168: loss 0.7208, time 808.44ms, mfu 0.15%
iter 169: loss 0.6770, time 820.97ms, mfu 0.15%
iter 170: loss 0.5166, time 803.25ms, mfu 0.15%
iter 171: loss 0.7039, time 819.48ms, mfu 0.15%
iter 172: loss 0.8203, time 811.73ms, mfu 0.15%
iter 173: loss 0.6448, time 814.41ms, mfu 0.15%
iter 174: loss 2.6775, time 811.70ms, mfu 0.15%
iter 175: loss 0.6885, time 811.58ms, mfu 0.15%
iter 176: loss 0.7102, time 808.12ms, mfu 0.15%
iter 177: loss 0.7231, time 816.78ms, mfu 0.15%
iter 178: loss 0.7961, time 812.91ms, mfu 0.15%
iter 179: loss 0.6102, time 814.02ms, mfu 0.15%
iter 180: loss 0.7803, time 811.98ms, mfu 0.15%
iter 181: loss 0.8167, time 822.44ms, mfu 0.15%
iter 182: loss 0.7161, time 827.57ms, mfu 0.15%
iter 183: loss 0.7002, time 808.78ms, mfu 0.15%
iter 184: loss 0.6726, time 818.85ms, mfu 0.15%
iter 185: loss 0.6316, time 810.15ms, mfu 0.15%
iter 186: loss 0.8638, time 800.93ms, mfu 0.15%
iter 187: loss 0.6533, time 813.97ms, mfu 0.15%
iter 188: loss 0.7229, time 824.89ms, mfu 0.15%
iter 189: loss 0.5725, time 815.07ms, mfu 0.15%
iter 190: loss 0.9019, time 804.84ms, mfu 0.15%
iter 191: loss 0.6372, time 842.39ms, mfu 0.15%
iter 192: loss 0.6388, time 809.40ms, mfu 0.15%
iter 193: loss 0.8481, time 806.09ms, mfu 0.15%
iter 194: loss 0.8027, time 828.23ms, mfu 0.15%
iter 195: loss 0.9404, time 797.09ms, mfu 0.15%
iter 196: loss 0.5718, time 820.98ms, mfu 0.15%
iter 197: loss 0.6980, time 813.81ms, mfu 0.15%
iter 198: loss 0.7070, time 810.21ms, mfu 0.15%
iter 199: loss 0.5359, time 807.28ms, mfu 0.15%
step 200: classification- train loss 0.7319, classification-val loss 0.6426
[WANDB] Logging at iter 200: train 0.731921374797821, val 0.642626941204071
saving checkpoint to out-sentiment-small
iter 200: loss 0.5586, time 5842.50ms, mfu 0.14%
iter 201: loss 0.6934, time 808.59ms, mfu 0.14%
iter 202: loss 0.6749, time 814.69ms, mfu 0.14%
iter 203: loss 0.5535, time 816.65ms, mfu 0.14%
iter 204: loss 0.5837, time 801.89ms, mfu 0.14%
iter 205: loss 0.7156, time 801.33ms, mfu 0.15%
iter 206: loss 0.9160, time 827.91ms, mfu 0.15%
iter 207: loss 0.6882, time 813.08ms, mfu 0.15%
iter 208: loss 0.9202, time 891.19ms, mfu 0.15%
iter 209: loss 0.4738, time 781.88ms, mfu 0.15%
iter 210: loss 0.5735, time 815.80ms, mfu 0.15%
iter 211: loss 0.6902, time 798.87ms, mfu 0.15%
iter 212: loss 0.5522, time 828.61ms, mfu 0.15%
iter 213: loss 0.6492, time 796.75ms, mfu 0.15%
iter 214: loss 2.9939, time 805.72ms, mfu 0.15%
iter 215: loss 3.1584, time 818.11ms, mfu 0.15%
iter 216: loss 0.5212, time 809.95ms, mfu 0.15%
iter 217: loss 0.4945, time 815.03ms, mfu 0.15%
iter 218: loss 0.6675, time 805.82ms, mfu 0.15%
iter 219: loss 0.6323, time 822.37ms, mfu 0.15%
iter 220: loss 0.6494, time 807.13ms, mfu 0.15%
iter 221: loss 0.6101, time 808.19ms, mfu 0.15%
iter 222: loss 0.5254, time 835.79ms, mfu 0.15%
iter 223: loss 0.6494, time 808.11ms, mfu 0.15%
iter 224: loss 0.4440, time 817.04ms, mfu 0.15%
iter 225: loss 0.6765, time 821.82ms, mfu 0.15%
iter 226: loss 0.8262, time 788.07ms, mfu 0.15%
iter 227: loss 0.5258, time 816.44ms, mfu 0.15%
iter 228: loss 0.4025, time 798.76ms, mfu 0.15%
iter 229: loss 0.6603, time 809.40ms, mfu 0.15%
iter 230: loss 0.7242, time 823.69ms, mfu 0.15%
iter 231: loss 0.8688, time 806.23ms, mfu 0.15%
iter 232: loss 0.1689, time 818.50ms, mfu 0.15%
iter 233: loss 0.2551, time 815.68ms, mfu 0.15%
iter 234: loss 0.3345, time 808.70ms, mfu 0.15%
iter 235: loss 0.2010, time 822.24ms, mfu 0.15%
iter 236: loss 0.3992, time 827.77ms, mfu 0.15%
iter 237: loss 0.2394, time 810.32ms, mfu 0.15%
iter 238: loss 1.3662, time 812.86ms, mfu 0.15%
iter 239: loss 0.8337, time 813.70ms, mfu 0.15%
iter 240: loss 0.2688, time 788.35ms, mfu 0.15%
iter 241: loss 1.5835, time 827.87ms, mfu 0.15%
iter 242: loss 0.6247, time 814.94ms, mfu 0.15%
iter 243: loss 0.8566, time 811.90ms, mfu 0.15%
iter 244: loss 0.7509, time 815.45ms, mfu 0.15%
iter 245: loss 1.2900, time 813.45ms, mfu 0.15%
iter 246: loss 1.4443, time 809.27ms, mfu 0.15%
iter 247: loss 0.9897, time 809.40ms, mfu 0.15%
iter 248: loss 0.6478, time 817.16ms, mfu 0.15%
iter 249: loss 0.3877, time 819.99ms, mfu 0.15%
step 250: classification- train loss 0.6846, classification-val loss 0.6287
[WANDB] Logging at iter 250: train 0.684552013874054, val 0.628662109375
saving checkpoint to out-sentiment-small
iter 250: loss 0.9224, time 5715.46ms, mfu 0.14%
iter 251: loss 0.9883, time 818.19ms, mfu 0.14%
iter 252: loss 0.9143, time 828.86ms, mfu 0.14%
iter 253: loss 0.7175, time 822.71ms, mfu 0.14%
iter 254: loss 0.6503, time 812.94ms, mfu 0.14%
iter 255: loss 0.7551, time 802.71ms, mfu 0.14%
iter 256: loss 0.7480, time 815.44ms, mfu 0.15%
iter 257: loss 0.5143, time 802.23ms, mfu 0.15%
iter 258: loss 0.6174, time 812.48ms, mfu 0.15%
iter 259: loss 0.7646, time 808.08ms, mfu 0.15%
iter 260: loss 0.6431, time 812.93ms, mfu 0.15%
iter 261: loss 0.8750, time 809.84ms, mfu 0.15%
iter 262: loss 2.6455, time 808.85ms, mfu 0.15%
iter 263: loss 0.8184, time 811.53ms, mfu 0.15%
iter 264: loss 0.7725, time 809.31ms, mfu 0.15%
iter 265: loss 0.7673, time 815.04ms, mfu 0.15%
iter 266: loss 0.6440, time 813.98ms, mfu 0.15%
iter 267: loss 0.6555, time 818.32ms, mfu 0.15%
iter 268: loss 0.5090, time 808.93ms, mfu 0.15%
iter 269: loss 0.6653, time 836.38ms, mfu 0.15%
iter 270: loss 0.9307, time 794.53ms, mfu 0.15%
iter 271: loss 0.6382, time 812.35ms, mfu 0.15%
iter 272: loss 0.6284, time 813.11ms, mfu 0.15%
iter 273: loss 0.6770, time 814.80ms, mfu 0.15%
iter 274: loss 0.8606, time 794.86ms, mfu 0.15%
iter 275: loss 2.8225, time 821.83ms, mfu 0.15%
iter 276: loss 0.6653, time 814.44ms, mfu 0.15%
iter 277: loss 0.6216, time 815.73ms, mfu 0.15%
iter 278: loss 0.6189, time 816.04ms, mfu 0.15%
iter 279: loss 0.7056, time 811.53ms, mfu 0.15%
iter 280: loss 0.6484, time 822.82ms, mfu 0.15%
iter 281: loss 0.8635, time 809.15ms, mfu 0.15%
iter 282: loss 2.7070, time 799.40ms, mfu 0.15%
iter 283: loss 0.7654, time 815.48ms, mfu 0.15%
iter 284: loss 0.5713, time 815.86ms, mfu 0.15%
iter 285: loss 0.6187, time 815.52ms, mfu 0.15%
iter 286: loss 2.8267, time 809.62ms, mfu 0.15%
iter 287: loss 0.6433, time 806.87ms, mfu 0.15%
iter 288: loss 0.6036, time 812.10ms, mfu 0.15%
iter 289: loss 0.5413, time 816.05ms, mfu 0.15%
iter 290: loss 0.7871, time 810.46ms, mfu 0.15%
iter 291: loss 3.1010, time 806.28ms, mfu 0.15%
iter 292: loss 0.7563, time 821.43ms, mfu 0.15%
iter 293: loss 0.5979, time 809.77ms, mfu 0.15%
iter 294: loss 0.6787, time 806.69ms, mfu 0.15%
iter 295: loss 0.5940, time 839.84ms, mfu 0.15%
iter 296: loss 0.7200, time 783.25ms, mfu 0.15%
iter 297: loss 0.6467, time 808.30ms, mfu 0.15%
iter 298: loss 0.5764, time 809.30ms, mfu 0.15%
iter 299: loss 0.6624, time 834.73ms, mfu 0.15%
step 300: classification- train loss 0.6086, classification-val loss 0.5925
[WANDB] Logging at iter 300: train 0.608630359172821, val 0.59246826171875
saving checkpoint to out-sentiment-small
iter 300: loss 0.5679, time 5545.70ms, mfu 0.14%
