step 0: classification- train loss 0.1049, classification-val loss 0.1036
[WANDB] Logging at iter 0: train 0.1048583984375, val 0.10356445610523224
iter 40: loss 0.6228, time 3755.79ms, mfu 0.38%
iter 41: loss 1.0798, time 3743.17ms, mfu 0.38%
iter 42: loss 0.6820, time 3744.80ms, mfu 0.38%
iter 43: loss 0.8455, time 3809.05ms, mfu 0.38%
iter 44: loss 0.6780, time 3738.97ms, mfu 0.38%
iter 45: loss 0.5346, time 3775.77ms, mfu 0.38%
iter 46: loss 0.5950, time 3750.50ms, mfu 0.38%
iter 47: loss 0.5414, time 3750.60ms, mfu 0.38%
iter 48: loss 0.4570, time 3767.64ms, mfu 0.38%
iter 49: loss 0.7648, time 3776.99ms, mfu 0.38%
iter 50: loss 0.4906, time 3747.35ms, mfu 0.38%
iter 51: loss 0.7338, time 3754.01ms, mfu 0.38%
iter 52: loss 0.6329, time 3743.50ms, mfu 0.38%
iter 53: loss 0.5763, time 3758.26ms, mfu 0.38%
iter 54: loss 0.7681, time 3785.66ms, mfu 0.38%
iter 55: loss 0.4925, time 3782.43ms, mfu 0.38%
iter 56: loss 0.3615, time 3777.95ms, mfu 0.38%
iter 57: loss 0.4203, time 3829.05ms, mfu 0.38%
iter 58: loss 0.7067, time 3765.65ms, mfu 0.38%
iter 59: loss 0.7535, time 3939.92ms, mfu 0.37%
iter 60: loss 0.5039, time 3910.98ms, mfu 0.37%
iter 61: loss 0.4515, time 3810.23ms, mfu 0.37%
iter 62: loss 0.4282, time 3784.25ms, mfu 0.37%
iter 63: loss 0.4633, time 3799.87ms, mfu 0.37%
iter 64: loss 0.2945, time 3799.16ms, mfu 0.37%
iter 65: loss 0.8704, time 3792.55ms, mfu 0.37%
iter 66: loss 0.6136, time 3753.93ms, mfu 0.37%
iter 67: loss 0.2889, time 3767.24ms, mfu 0.37%
iter 68: loss 0.6250, time 3743.70ms, mfu 0.37%
iter 69: loss 0.4540, time 3751.61ms, mfu 0.37%
iter 70: loss 0.6184, time 3855.20ms, mfu 0.37%
iter 71: loss 0.3636, time 3753.90ms, mfu 0.37%
iter 72: loss 0.5449, time 3774.90ms, mfu 0.37%
iter 73: loss 0.3767, time 3780.07ms, mfu 0.37%
iter 74: loss 0.4174, time 3778.58ms, mfu 0.37%
iter 75: loss 0.5190, time 3762.93ms, mfu 0.37%
iter 76: loss 0.2275, time 4003.93ms, mfu 0.37%
iter 77: loss 0.4021, time 3787.28ms, mfu 0.37%
iter 78: loss 0.3453, time 3780.00ms, mfu 0.37%
iter 79: loss 0.5984, time 3776.65ms, mfu 0.37%
iter 80: loss 0.7274, time 3791.81ms, mfu 0.37%
iter 81: loss 0.5778, time 3835.28ms, mfu 0.37%
iter 82: loss 0.6766, time 3777.05ms, mfu 0.37%
iter 83: loss 0.4256, time 3787.60ms, mfu 0.37%
iter 84: loss 0.3507, time 3816.28ms, mfu 0.37%
iter 85: loss 0.2956, time 3759.40ms, mfu 0.37%
iter 86: loss 0.2668, time 3836.86ms, mfu 0.37%
iter 87: loss 0.4056, time 3820.63ms, mfu 0.37%
iter 88: loss 0.4553, time 3769.10ms, mfu 0.37%
iter 89: loss 0.3680, time 3786.62ms, mfu 0.37%
iter 90: loss 0.8435, time 3773.98ms, mfu 0.37%
iter 91: loss 0.5755, time 3769.35ms, mfu 0.37%
iter 92: loss 0.2792, time 3816.37ms, mfu 0.37%
iter 93: loss 0.2460, time 3775.01ms, mfu 0.37%
iter 94: loss 0.1690, time 3766.93ms, mfu 0.37%
iter 95: loss 0.3679, time 3794.04ms, mfu 0.37%
iter 96: loss 0.3177, time 3880.93ms, mfu 0.37%
iter 97: loss 0.2326, time 3889.82ms, mfu 0.37%
iter 98: loss 0.2738, time 3767.85ms, mfu 0.37%
iter 99: loss 0.4994, time 3751.02ms, mfu 0.37%
iter 100: loss 0.1543, time 3799.55ms, mfu 0.37%
